ID [],Local [],Irradiance [W/m^2],T_ambient [Degrees Celsius],T_ground [Degrees Celsius],Wind [m/s],Cloud [okta],Pressure [Pa],Rain [mm/hr],Diffuse [W/m^2],Direct [W/m^2],Elevation [Degrees],Azimuth [Degrees]
3589,0000-05-29 12:30:00,596.609,18.041,14.969,5.312,4.968,101668.667,0.011,255.238,340.679,58.134,202.567
3590,0000-05-29 13:30:00,531.456,18.056,15.263,5.395,5.148,101653.905,0.011,244.966,282.567,52.944,225.587
3591,0000-05-29 14:30:00,466.23,17.983,15.426,5.52,5.014,101636.191,0.019,212.307,246.512,45.417,243.641
3592,0000-05-29 15:30:00,383.275,17.408,15.505,5.36,5.61,101627.429,0.276,167.181,210.401,36.705,258.131
3593,0000-05-29 16:30:00,282.256,16.797,15.496,4.996,5.323,101616.191,0.365,128.056,150.677,27.531,270.554
3594,0000-05-29 17:30:00,172.829,15.879,15.625,4.522,4.505,101617.048,0.36,95.307,74.483,18.369,281.974
3595,0000-05-29 18:30:00,79.19,15.048,14.596,4.123,5.066,101638.667,0.218,53.443,24.897,9.578,293.127
3596,0000-05-29 19:30:00,12.936,13.889,13.493,3.687,4.729,101659.621,0.126,10.509,2.408,1.5,304.541
3597,0000-05-29 20:30:00,0.011,13.031,12.462,2.853,5.024,101678.906,0.148,0,0,-5.507,316.595
3598,0000-05-29 21:30:00,0.023,12.279,11.524,2.726,4.306,101679.809,0.123,0,0,-11.052,329.513
3599,0000-05-29 22:30:00,0,12.148,10.612,2.602,4.166,101671.523,0.05,0,0,-14.744,343.294
3600,0000-05-29 23:30:00,0.011,11.815,9.645,2.596,4.548,101663.286,0.014,0,0,-16.267,337.09
3601,0000-05-30 00:30:00,0.029,11.545,9.386,2.437,4.615,101654.477,0.03,0,0,-15.473,12.118
3602,0000-05-30 01:30:00,0.005,10.947,9.073,2.269,3.833,101642.381,0.016,0,0,-12.439,26.125
3603,0000-05-30 02:30:00,0.011,10.639,8.799,2.35,4.067,101639.619,0.027,0,0,-7.441,39.327
3604,0000-05-30 03:30:00,3.574,10.832,8.641,2.258,4.433,101645.429,0.05,3.555,0.01,-0.852,51.634
3605,0000-05-30 04:30:00,43.251,11.79,8.528,2.616,4.562,101663.762,0.007,35.022,8.793,6.929,63.208
3606,0000-05-30 05:30:00,121.768,13.116,8.527,2.984,4.828,101671.223,0.041,85.495,38.959,15.535,74.383
3607,0000-05-30 06:30:00,227,14.15,9.423,3.42,5.167,101695.162,0.007,130.464,101.985,24.624,85.635
3608,0000-05-30 07:30:00,339.554,15.367,10.326,3.733,5.247,101713.586,0.016,173.927,173.735,33.847,97.621
3609,0000-05-30 08:30:00,446.145,16.336,11.286,3.987,4.719,101716.638,0.016,192.732,263.343,42.784,111.288
3610,0000-05-30 09:30:00,499.996,16.984,12.215,4.368,4.639,101719.158,0.03,223.802,286.94,50.813,128.002
3611,0000-05-30 10:30:00,568.904,17.476,13.052,4.483,4.814,101716.777,0.193,245.682,325.813,56.93,149.364
3612,0000-05-30 11:30:00,589.116,17.884,13.897,4.712,4.862,101709.729,0.061,278.408,310.247,59.744,175.515
3613,0000-05-30 12:30:00,588.036,18.369,14.31,4.771,4.667,101693.062,0.043,268.504,326.882,58.286,202.582
3614,0000-05-30 13:30:00,570.48,18.615,14.824,4.695,4.791,101675.396,0.11,251.402,325.101,53.09,225.657
3615,0000-05-30 14:30:00,446.596,18.053,15.201,4.793,5.029,101664.301,0.384,202.591,244.613,45.556,243.73
3616,0000-05-30 15:30:00,387.038,17.725,15.571,4.772,4.639,101648.163,0.296,166.545,214.428,36.838,258.222
3617,0000-05-30 16:30:00,307.368,17.379,16.055,4.79,4.31,101647.634,0.061,127.718,173.665,27.664,270.637
3618,0000-05-30 17:30:00,193.905,16.487,16.358,4.574,4.324,101651.253,0.03,93.838,96.14,18.503,282.05
3619,0000-05-30 18:30:00,81.387,15.415,15.106,4.1,4.643,101658.443,0.163,53.203,28.221,9.715,293.193
3620,0000-05-30 19:30:00,15.807,14.209,13.905,3.48,4.186,101686.205,0.45,12.15,3.55,1.641,304.595
3621,0000-05-30 20:30:00,0.033,13.386,12.762,3.117,3.457,101709.538,0.143,0.01,0,-5.36,316.634
3622,0000-05-30 21:30:00,0.011,12.666,11.686,3.015,3.287,101717.463,0.053,0,0,-10.903,329.532
3623,0000-05-30 22:30:00,0.011,12.414,10.584,2.919,3.753,101706.59,0.096,0,0,-14.594,343.29
3624,0000-05-30 23:30:00,0,12.086,9.499,3.212,4.148,101696.11,0.197,0,0,-16.119,337.06
3625,0000-05-31 00:30:00,0,11.802,9.298,2.935,4.152,101683.843,0.094,0,0,-15.332,12.063
3626,0000-05-31 01:30:00,0,11.64,9.145,2.801,4.399,101673.549,0.043,0,0,-12.309,26.05
3627,0000-05-31 02:30:00,0.005,11.404,8.989,2.615,4.633,101677.79,0.057,0,0,-7.322,39.235
3628,0000-05-31 03:30:00,2.759,11.328,8.893,2.608,4.524,101696.6,0.004,2.589,0.031,-0.744,51.53
3629,0000-05-31 04:30:00,39.896,11.714,8.953,2.718,4.09,101720.181,0.014,34.281,4.819,7.027,63.094
3630,0000-05-31 05:30:00,136.75,13.302,9.441,2.765,3.999,101748.22,0.011,85.819,49.237,15.626,74.26
3631,0000-05-31 06:30:00,236.219,14.426,10.526,3.6,4.543,101779.371,0.04,138.203,94.22,24.71,85.502
3632,0000-05-31 07:30:00,347.716,15.398,11.49,3.955,4.415,101803.9,0.011,179.396,163.148,33.934,97.477
3633,0000-05-31 08:30:00,472.836,16.272,12.317,4.284,4.047,101818.505,0.318,214.318,252.989,42.877,111.131
3634,0000-05-31 09:30:00,531.463,16.519,12.969,4.851,4.609,101840.219,0.438,247.976,275.279,50.918,127.837
3635,0000-05-31 10:30:00,573.951,17.113,13.732,4.999,5.047,101848.505,0.072,268.769,297.621,57.055,149.217
3636,0000-05-31 11:30:00,621.244,17.461,14.463,5.129,4.672,101852.32,0.026,278.6,335.564,59.885,175.435
3637,0000-05-31 12:30:00,647.427,17.757,14.976,5.157,4.762,101853.075,0.017,262.52,376.068,58.433,202.589
3638,0000-05-31 13:30:00,579.194,17.758,15.322,5.246,4.222,101851.362,0.053,240,329.771,53.232,225.72
3639,0000-05-31 14:30:00,551.082,17.729,15.616,5.244,4.53,101851.772,0.023,204.22,339.777,45.69,243.814
3640,0000-05-31 15:30:00,455.309,17.483,15.761,5.192,3.924,101839.519,0.023,174.386,275.348,36.969,258.305
3641,0000-05-31 16:30:00,336.824,16.949,15.92,5.069,4.153,101832.948,0.163,128.303,203.911,27.792,270.716
3642,0000-05-31 17:30:00,203.475,16.208,16.051,4.409,3.867,101845.282,0.16,98.819,102.243,18.633,282.12
3643,0000-05-31 18:30:00,89.168,15.13,14.753,3.857,4.266,101870.576,0.019,56.094,30.438,9.848,293.254
3644,0000-05-31 19:30:00,13.54,13.681,13.332,3.349,4.138,101900.381,0.197,11.549,1.644,1.778,304.644
3645,0000-05-31 20:30:00,0.028,12.801,12.023,2.937,3.872,101928.005,0.016,0.028,0,-5.219,316.668
3646,0000-05-31 21:30:00,0,12.069,10.781,2.692,3.434,101937.343,0.004,0,0,-10.758,329.548
3647,0000-05-31 22:30:00,0,11.483,9.539,2.452,3.766,101940.153,0,0,0,-14.449,343.284
3648,0000-05-31 23:30:00,0,10.923,8.31,2.195,3.933,101929.043,0,0,0,-15.979,342.172
3649,0000-06-01 00:30:00,0,10.657,8.044,2.151,4.434,101917.458,0,0,0,-15.198,12.008
3650,0000-06-01 01:30:00,0,10.289,7.789,2.158,4.399,101911.79,0,0,0,-12.186,25.974
3651,0000-06-01 02:30:00,0,9.981,7.554,2.219,4.467,101907.419,0,0,0,-7.209,39.145
3652,0000-06-01 03:30:00,3.616,10.228,7.38,2.136,4.467,101912.68,0,3.47,0.034,-0.643,51.429
3653,0000-06-01 04:30:00,45.078,11.405,7.501,2.445,4.399,101924.367,0,37.882,6.421,7.119,62.983
3654,0000-06-01 05:30:00,130.126,13.012,7.891,2.761,4.5,101932.191,0,88.216,39.623,15.711,74.14
3655,0000-06-01 06:30:00,232.275,14.218,9.147,3.156,4.334,101944.014,0.053,130.707,97.367,24.791,85.372
3656,0000-06-01 07:30:00,334.756,15.242,10.391,3.497,4.415,101948.381,0.011,173.893,155.155,34.016,97.335
3657,0000-06-01 08:30:00,474.76,16.486,11.575,3.629,4.568,101938.234,0.007,211.89,257.075,42.964,110.978
3658,0000-06-01 09:30:00,567.349,17.143,12.632,3.89,4.763,101934.752,0.038,238.403,323.35,51.018,127.675
3659,0000-06-01 10:30:00,582.711,17.806,13.605,4.187,5.202,101927.657,0.007,277.167,297.207,57.172,149.071
3660,0000-06-01 11:30:00,618.339,18.143,14.519,4.455,4.599,101906.529,0,289.591,320.392,60.02,175.351
3661,0000-06-01 12:30:00,634.751,18.72,15.004,4.509,4.379,101882.395,0,267.623,359.457,58.575,202.592
3662,0000-06-01 13:30:00,556.183,18.826,15.434,4.526,4.62,101860.296,0,270.532,278.614,53.368,225.778
3663,0000-06-01 14:30:00,471.021,18.43,15.817,4.58,4.552,101841.772,0.391,227.488,237.238,45.821,243.889
3664,0000-06-01 15:30:00,379.868,18.33,16.163,4.394,4.275,101813.304,0.13,180.325,198.109,37.095,258.383
3665,0000-06-01 16:30:00,304.965,18.016,16.593,4.411,4.335,101796.457,0.012,137.551,165.289,27.917,270.788
3666,0000-06-01 17:30:00,201.454,17.496,17.069,4.097,3.933,101789.448,0.019,95.792,102.086,18.759,282.185
3667,0000-06-01 18:30:00,90.33,16.486,15.954,3.753,4.568,101790.51,0.047,55.558,33.554,9.977,293.31
3668,0000-06-01 19:30:00,14.876,15.138,14.698,3.223,4.4,101805.942,0.055,12.067,2.803,1.91,304.687
3669,0000-06-01 20:30:00,0.136,14.222,13.411,2.805,4.1,101820.6,0.074,0.139,0,-5.083,316.698
3670,0000-06-01 21:30:00,0,13.668,12.227,2.488,3.981,101808.171,0.108,0,0,-10.62,329.56
3671,0000-06-01 22:30:00,0.029,13.224,11.304,2.667,4.172,101788.934,0.292,0,0,-14.31,343.275
3672,0000-06-01 23:30:00,0.029,12.668,10.256,2.672,3.9,101763.752,0.104,0,0,-15.844,343.854
3673,0000-06-02 00:30:00,0,12.226,9.911,2.526,3.781,101734.753,0.102,0,0,-15.07,11.953
3674,0000-06-02 01:30:00,0,11.982,9.606,2.548,4.448,101706.005,0.037,0,0,-12.068,25.9
3675,0000-06-02 02:30:00,0.014,11.687,9.391,2.826,5,101686.296,0.076,0,0,-7.104,39.056
3676,0000-06-02 03:30:00,3.723,11.61,9.121,2.659,5.172,101676.137,0.007,3.653,0.024,-0.548,51.329
3677,0000-06-02 04:30:00,45.951,12.505,9.057,2.766,4.929,101672.868,0.064,37.223,8.308,7.204,62.875
3678,0000-06-02 05:30:00,132.531,14.091,9.427,3.134,4.335,101677.805,0.05,82.292,48.752,15.789,74.024
3679,0000-06-02 06:30:00,238.041,15.156,10.615,3.471,4.266,101679.615,0.09,120.923,114.74,24.867,85.246
3680,0000-06-02 07:30:00,345.08,16.281,11.727,3.608,4.625,101676.1,0.127,158.355,183.394,34.091,97.198
3681,0000-06-02 08:30:00,423.63,17.097,12.786,3.779,4.99,101675.243,0.046,201.296,217.063,43.045,110.827
3682,0000-06-02 09:30:00,488.311,17.933,13.79,3.946,5.234,101667.666,0.053,227.454,252.211,51.11,127.517
3683,0000-06-02 10:30:00,534,18.32,14.691,4.099,5.394,101659.519,0.219,247.501,276.979,57.283,148.926
3684,0000-06-02 11:30:00,610.657,18.821,15.613,4.35,5.175,101642.223,0.05,246.044,355.972,60.149,175.264
3685,0000-06-02 12:30:00,584.844,18.812,15.777,4.512,5.086,101633.043,0.403,217.727,358.549,58.709,202.588
3686,0000-06-02 13:30:00,538.322,18.637,15.967,4.712,4.805,101624.252,0.505,203.243,327.347,53.5,225.829
3687,0000-06-02 14:30:00,450.172,18.387,16.162,5.138,4.438,101625.048,0.05,190.992,253.586,45.947,243.959
3688,0000-06-02 15:30:00,383.981,18.084,16.348,5.111,5.163,101618.562,0.014,182.826,195.272,37.216,258.454
3689,0000-06-02 16:30:00,279.728,17.561,16.535,4.851,5.115,101611.438,0.027,134.249,139.635,28.039,270.855
3690,0000-06-02 17:30:00,164.639,16.79,16.608,4.416,5.013,101618.156,0.123,92.427,69.375,18.881,282.245
3691,0000-06-02 18:30:00,77.744,15.858,15.537,3.952,5.124,101625.282,0.053,51.931,24.683,10.101,293.36
3692,0000-06-02 19:30:00,14.961,14.684,14.212,3.689,4.495,101647.776,0.038,12.57,2.122,2.038,304.727
3693,0000-06-02 20:30:00,0.302,13.892,12.995,3.168,4.847,101672.676,0.057,0.313,0,-4.952,316.724
3694,0000-06-02 21:30:00,0.029,13.288,12.136,3.194,4.633,101674.038,0.17,0,0,-10.486,329.568
3695,0000-06-02 22:30:00,0.014,12.944,11.289,2.906,4.324,101669,0.034,0,0,-14.177,343.263
3696,0000-06-02 23:30:00,0.029,12.602,10.486,3.067,4.781,101653.005,0.034,0,0,-15.715,343.82
3697,0000-06-03 00:30:00,0.005,12.248,10.311,3.175,4.724,101643.771,0.053,0,0,-14.949,11.897
3698,0000-06-03 01:30:00,0,11.759,10.006,2.757,4.494,101628.952,0.053,0,0,-11.957,25.826
3699,0000-06-03 02:30:00,0.005,11.852,9.836,2.766,4.708,101620.81,0.046,0,0,-7.004,38.968
3700,0000-06-03 03:30:00,3.442,11.769,9.605,3.02,4.667,101620.943,0.046,3.431,0.007,-0.46,51.231
3701,0000-06-03 04:30:00,42.133,12.725,9.647,3.077,5.72,101633.086,0.019,36.778,6.122,7.284,62.769
3702,0000-06-03 05:30:00,116.763,14.012,9.746,3.486,5.704,101642.129,0.153,87.353,31.19,15.862,73.91
3703,0000-06-03 06:30:00,218.65,15.056,10.745,4.123,5.686,101660.315,0.096,131.261,90.759,24.936,85.123
3704,0000-06-03 07:30:00,322.761,15.904,11.647,4.425,5.8,101673.934,0.166,186.785,145.259,34.16,97.064
3705,0000-06-03 08:30:00,430.593,16.743,12.563,4.528,5.495,101672.075,0.03,224.641,210.437,43.119,110.68
3706,0000-06-03 09:30:00,496.548,17.52,13.46,4.494,5.514,101673.315,0.004,253.014,243.574,51.196,127.361
3707,0000-06-03 10:30:00,538.615,18.191,14.172,4.486,5.781,101672.124,0.004,297.595,241.014,57.388,148.781
3708,0000-06-03 11:30:00,575.422,18.347,15.003,4.699,5.657,101665.218,0.034,294.467,275.94,60.271,175.174
3709,0000-06-03 12:30:00,563.113,18.584,15.25,4.795,5.638,101662.028,0.25,305.781,247.717,58.839,202.579
3710,0000-06-03 13:30:00,533.64,18.508,15.521,4.833,5.461,101655.79,0.046,277.322,246.203,53.627,225.872
3711,0000-06-03 14:30:00,464.071,18.112,15.734,4.712,5.168,101645.125,0.197,220.848,233.609,46.069,244.022
3712,0000-06-03 15:30:00,375.262,17.704,15.759,4.595,5.009,101629.458,0.223,168.614,201.789,37.335,258.52
3713,0000-06-03 16:30:00,267.349,16.693,15.843,4.64,5.229,101626.886,0.407,123.409,140.333,28.156,270.916
3714,0000-06-03 17:30:00,175.278,16.114,15.927,4.088,5.753,101628.314,0.2,95.012,79.057,18.999,282.299
3715,0000-06-03 18:30:00,77.211,15.142,14.926,3.834,5.253,101637.743,0.023,52.762,24.106,10.221,293.406
3716,0000-06-03 19:30:00,15.332,14.204,13.942,3.387,5.285,101657.077,0.016,12.622,2.847,2.162,304.761
3717,0000-06-03 20:30:00,0.14,13.594,12.972,3.031,4.862,101676.552,0.057,0.126,0,-4.827,316.746
3718,0000-06-03 21:30:00,0,13.061,12.141,2.966,4.557,101673.648,0.15,0,0,-10.36,329.574
3719,0000-06-03 22:30:00,0,12.629,11.344,3.073,4.586,101668.79,0.09,0,0,-14.051,343.247
3720,0000-06-03 23:30:00,0,12.4,10.584,3.198,5.129,101650.171,0.203,0,0,-15.592,343.784
3721,0000-06-04 00:30:00,0,12.189,10.48,3.065,5.242,101631.791,0.14,0,0,-14.835,11.84
3722,0000-06-04 01:30:00,0,12.111,10.322,3.23,5.81,101608.409,0.073,0,0,-11.853,25.753
3723,0000-06-04 02:30:00,0,12.193,10.188,3.318,5.986,101596.647,0.064,0,0,-6.911,38.882
3724,0000-06-04 03:30:00,3.18,12.259,10.03,3.367,6.058,101603.934,0.04,3.192,0.007,-0.378,51.136
3725,0000-06-04 04:30:00,35.885,12.866,10,3.47,6.267,101612.076,0.038,29.693,5.857,7.358,62.666
3726,0000-06-04 05:30:00,99.352,13.689,10.181,3.65,5.904,101622.466,0.12,71.959,24.469,15.93,73.799
3727,0000-06-04 06:30:00,182.583,14.561,10.976,3.976,5.972,101638.421,0.2,118.27,58.934,25,85.004
3728,0000-06-04 07:30:00,302.64,15.549,11.766,4.5,5.757,101648.661,0.09,178.366,120.122,34.224,96.934
3729,0000-06-04 08:30:00,410.366,16.179,12.481,4.685,5.634,101654.616,0.107,222.511,183.624,43.187,110.537
3730,0000-06-04 09:30:00,482.569,16.951,13.202,4.826,5.476,101652.712,0.1,255.782,219.002,51.276,127.208
3731,0000-06-04 10:30:00,519.485,17.429,13.792,4.743,5.186,101648.018,0.227,261.459,249.7,57.485,148.637
3732,0000-06-04 11:30:00,544.431,17.769,14.336,4.903,5.657,101638.78,0.096,288.796,249.437,60.386,175.082
3733,0000-06-04 12:30:00,537.101,18.004,14.761,4.941,5.705,101622.099,0.076,271.784,251.641,58.963,202.564
3734,0000-06-04 13:30:00,523.791,18.327,15.16,4.971,5.124,101591.627,0.067,264.971,249.017,53.749,225.909
3735,0000-06-04 14:30:00,160.45,6.125,5.232,1.792,1.647,34629.37,0.028,80.257,77.094,15.745,83.211
3736,0000-06-04 15:30:00,395.818,17.751,15.457,5.3,4.8,101557.923,0.394,190.371,199.679,37.449,258.579
3737,0000-06-04 16:30:00,279.97,16.817,15.586,5.256,5.233,101557.122,0.645,135.924,139.259,28.269,270.971
3738,0000-06-04 17:30:00,186.458,16.33,15.82,4.779,4.133,101556.723,0.084,98.712,83.246,19.113,282.347
3739,0000-06-04 18:30:00,81.232,15.342,14.882,4.26,4.896,101563.137,0.087,55.358,23.465,10.337,293.446
3740,0000-06-04 19:30:00,16.476,14.305,13.863,3.443,4.962,101586.623,0.04,13.361,2.515,2.28,304.792
3741,0000-06-04 20:30:00,0.071,13.319,12.883,3.162,4.78,101611.019,0.064,0.052,0,-4.706,316.764
3742,0000-06-04 21:30:00,0,13.112,12,2.803,5.003,101610.443,0.057,0,0,-10.238,329.575
3743,0000-06-04 22:30:00,0,12.704,11.087,2.745,4.958,101608.076,0.441,0,0,-13.931,343.23
3744,0000-06-04 23:30:00,0,12.301,10.28,2.754,4.439,101591.78,0.103,0,0,-15.476,343.746
3745,0000-06-05 00:30:00,0,12.074,10.069,2.558,4.071,101576.52,0.007,0,0,-14.728,11.783
3746,0000-06-05 01:30:00,0.005,11.851,9.965,2.407,4.648,101550.9,0.038,0,0,-11.755,25.68
3747,0000-06-05 02:30:00,0.005,11.68,9.777,2.396,4.828,101538.282,0.023,0,0,-6.824,38.798
3748,0000-06-05 03:30:00,3.538,11.809,9.703,2.4,5.633,101537.279,0.062,3.464,0,-0.301,51.043
3749,0000-06-05 04:30:00,40.356,12.595,9.614,2.652,5.795,101534.948,0.033,34.373,6.063,7.425,62.566
3750,0000-06-05 05:30:00,115.315,13.769,9.498,2.959,6.129,101542.709,0.016,76.387,37.532,15.991,73.692
3751,0000-06-05 06:30:00,181.753,14.163,9.95,3.303,5.996,98278.611,0.231,114.273,65.602,24.249,82.15
3752,0000-06-05 07:30:00,281.996,15.584,11.209,3.73,6.093,101532.253,0.339,167.38,111.328,34.395,96.97
3753,0000-06-05 08:30:00,360.984,16.372,12.032,3.883,6.305,101526.782,0.141,217.431,138.167,43.248,110.403
3754,0000-06-05 09:30:00,438.141,16.989,12.902,4.045,5.646,101524.965,0.045,258.664,171.643,51.346,127.067
3755,0000-06-05 10:30:00,509.386,17.58,13.783,4.556,5.834,101516.994,0.097,283.368,217.883,57.569,148.505
3756,0000-06-05 11:30:00,531.807,17.916,14.602,4.643,5.696,101501.63,0.193,271.825,256.939,60.487,174.99
3757,0000-06-05 12:30:00,546.605,18.239,14.869,4.754,5.788,101493.111,0.127,248.938,296.456,59.074,202.536
3758,0000-06-05 13:30:00,522.406,18.383,15.163,4.745,5.622,101475.139,0.142,251.026,272.168,53.861,225.929
3759,0000-06-05 14:30:00,488.011,18.404,15.593,4.717,5.143,101460.486,0.046,220.974,268.362,46.296,244.121
3760,0000-06-05 15:30:00,373.802,17.951,15.924,4.62,5.433,101447.396,0.011,189.837,180.388,37.557,258.627
3761,0000-06-05 16:30:00,266.293,17.345,16.106,4.557,5.456,101437.995,0.051,139.065,124.653,28.377,271.018
3762,0000-06-05 17:30:00,178.755,16.786,16.32,4.216,4.742,101429.243,0.084,104.915,72.418,19.223,282.39
3763,0000-06-05 18:30:00,84.255,15.861,15.309,3.73,5.401,101429.857,0.007,57.127,27.746,10.449,293.481
3764,0000-06-05 19:30:00,16.102,14.8,14.331,3.27,5.115,101440.963,0.015,14.6,1.462,2.395,304.819
3765,0000-06-05 20:30:00,0.061,13.955,13.555,3.153,4.995,101456.487,0.285,0.045,0,-4.589,316.777
3766,0000-06-05 21:30:00,0,13.616,12.682,3.183,4.58,101442.079,0.345,0,0,-10.12,329.574
3767,0000-06-05 22:30:00,0,13.253,11.858,3.143,4.48,101424.602,0.106,0,0,-13.816,343.21
3768,0000-06-05 23:30:00,0,12.835,11.045,2.808,4.895,101397.285,0.127,0,0,-15.365,340.831
3769,0000-06-06 00:30:00,0,12.441,10.824,2.825,4.544,101376.076,0.156,0,0,-14.625,11.726
3770,0000-06-06 01:30:00,0.011,12.119,10.556,2.69,4.549,101358.068,0.021,0,0,-11.66,25.608
3771,0000-06-06 02:30:00,0.011,11.96,10.334,2.516,4.318,101348.7,0.029,0,0,-6.741,38.714
3772,0000-06-06 03:30:00,3.853,11.835,10.065,2.54,5.221,101347.602,0.101,3.894,0.039,-0.23,50.952
3773,0000-06-06 04:30:00,44.673,12.764,9.987,2.49,5.257,101352.497,0.012,35.352,10.189,7.488,62.47
3774,0000-06-06 05:30:00,114.943,13.912,10.185,2.891,5.451,101364.869,0.015,77.683,40.203,16.046,73.589
3775,0000-06-06 06:30:00,205.8,14.973,11.048,3.304,5.032,101373.027,0.081,115.025,95.209,25.109,84.778
3776,0000-06-06 07:30:00,295.993,15.783,11.906,3.489,5.014,101386.594,0.207,152.555,148.784,34.332,96.689
3777,0000-06-06 08:30:00,396.683,16.627,12.701,4.048,4.982,101383.395,0.124,211.919,188.272,43.305,110.267
3778,0000-06-06 09:30:00,501.061,17.556,13.56,4.33,5.226,101394.991,0.037,245.84,258.502,51.413,126.92
3779,0000-06-06 10:30:00,564.794,18.205,14.238,4.478,4.719,101402.981,0.018,255.124,313.744,57.653,148.364
3780,0000-06-06 11:30:00,602.973,18.844,14.98,4.689,4.815,101401.967,0.084,261.003,348.915,60.59,174.893
3781,0000-06-06 12:30:00,603.478,18.95,15.388,4.842,4.977,101392.842,0.059,268.19,342.968,59.185,202.51
3782,0000-06-06 13:30:00,579.455,19.063,15.84,5.061,4.847,101396.898,0.015,258.065,326.991,53.972,225.952
3783,0000-06-06 14:30:00,489.616,18.842,16.244,4.989,4.89,101398.05,0.045,211.407,285.254,46.404,244.162
3784,0000-06-06 15:30:00,383.133,18.3,16.464,4.808,4.346,101390.267,0.305,168.784,222.012,37.662,258.673
3785,0000-06-06 16:30:00,263.849,17.79,16.698,4.528,4.53,101390.719,0.076,132.022,136.465,28.482,271.061
3786,0000-06-06 17:30:00,177.013,17.291,17.017,4.258,4.18,101395.077,0.081,95.755,84.826,19.328,282.427
3787,0000-06-06 18:30:00,90.27,16.478,16.009,4.035,4.213,101404.489,0.015,57.714,33.89,10.555,293.512
3788,0000-06-06 19:30:00,19.532,15.26,14.87,3.698,4.894,101435.874,0.081,15.036,4.481,2.504,304.84
3789,0000-06-06 20:30:00,0.182,14.333,13.852,3.551,4.981,101460.714,0.14,0.139,0,-4.479,316.787
3790,0000-06-06 21:30:00,0.014,13.56,12.772,3.258,4.548,101461.832,0.065,0,0,-10.009,329.569
3791,0000-06-06 22:30:00,0.005,13.356,11.799,3.19,4.752,101457.675,0.063,0,0,-13.708,343.188
3792,0000-06-06 23:30:00,0,13.14,10.907,3.063,5.125,101449.282,0.021,0,0,-15.263,340.79
3793,0000-06-07 00:30:00,0.014,12.711,10.665,3.017,4.327,101436.299,0.086,0,0,-14.53,11.669
3794,0000-06-07 01:30:00,0,12.433,10.507,3.043,4.89,101428.461,0,0,0,-11.577,25.537
3795,0000-06-07 02:30:00,0,12.357,10.41,3.186,5.055,101416.557,0,0,0,-6.667,38.633
3796,0000-06-07 03:30:00,4.187,12.462,10.39,3.025,5.335,101416.65,0.031,4.149,0.057,-0.166,50.864
3797,0000-06-07 04:30:00,46.572,13.364,10.54,3.117,5.378,101432.084,0.085,36.143,10.677,7.544,62.375
3798,0000-06-07 05:30:00,114.912,14.573,10.824,3.269,5.493,101446.847,0.054,80.864,34.068,16.095,73.489
3799,0000-06-07 06:30:00,198.118,15.587,11.761,3.784,5.407,101461.729,0.071,129.291,71.345,25.155,84.67
3800,0000-06-07 07:30:00,310.435,16.631,12.581,3.997,5.07,101471.637,0.143,181.245,135.912,34.379,96.571
3801,0000-06-07 08:30:00,404.856,17.549,13.498,4.315,5.497,101472.567,0.075,214.116,195.904,43.355,110.136
3802,0000-06-07 09:30:00,483.218,18.248,14.294,4.556,5.756,101480.041,0.075,251.177,241.483,51.473,126.779
3803,0000-06-07 10:30:00,517.64,18.775,15.03,4.894,6.018,101486.728,0.016,278.946,250.532,57.731,148.224
3804,0000-06-07 11:30:00,514.807,19.18,15.683,4.786,5.728,101479.669,0.138,296.424,231.748,60.684,174.795
3805,0000-06-07 12:30:00,539.974,19.421,16.022,5.003,5.396,101472.539,0.225,264.251,287.208,59.29,202.479
3806,0000-06-07 13:30:00,512.361,19.133,16.204,4.947,5.272,101475.46,0.817,237.019,279.21,54.079,225.968
3807,0000-06-07 14:30:00,486.794,19.075,16.364,4.829,4.613,101469.347,0.171,207.313,276.289,46.508,244.198
3808,0000-06-07 15:30:00,398.099,18.551,16.443,4.808,4.871,101467.728,0.084,177.065,217.438,37.765,258.713
3809,0000-06-07 16:30:00,302.488,18.066,16.699,4.322,4.453,101466.529,0.155,146.982,151.35,28.583,271.098
3810,0000-06-07 17:30:00,199.211,17.361,16.848,4.103,4.677,101476.106,0.018,103.97,93.656,19.429,282.459
3811,0000-06-07 18:30:00,87.493,16.184,15.716,3.731,4.28,101490.304,0,58.002,29.749,10.658,293.536
3812,0000-06-07 19:30:00,19.823,14.851,14.533,3.193,4.28,101516.143,0,16.835,3.064,2.608,304.857
3813,0000-06-07 20:30:00,0.16,13.959,13.421,2.978,4.286,101545.227,0.029,0.135,0,-4.374,316.793
3814,0000-06-07 21:30:00,0,13.39,12.448,2.651,3.875,101556.018,0.048,0,0,-9.903,329.562
3815,0000-06-07 22:30:00,0,13.062,11.34,2.545,4.35,101554.838,0.068,0,0,-13.611,343.192
3816,0000-06-07 23:30:00,0.017,12.757,10.391,2.702,4.696,101542.788,0.053,0,0,-15.165,340.727
3817,0000-06-08 00:30:00,0.028,12.586,10.238,2.576,4.902,101532.594,0.072,0,0,-14.442,11.611
3818,0000-06-08 01:30:00,0,12.251,10.066,2.553,4.612,101522.045,0.053,0,0,-11.499,25.467
3819,0000-06-08 02:30:00,0,12.24,9.937,2.706,4.438,101518.332,0.022,0,0,-6.6,38.554
3820,0000-06-08 03:30:00,3.936,12.409,9.748,2.724,4.673,101533.784,0.01,4.003,0.016,-0.114,50.767
